127.0.0.1 - - [28/Dec/2020:14:28:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:29:15 +0530] "GET /WarehouseStocksManagementAPI/Warehouse HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:29:15 +0530] "GET /WarehouseStocksManagementAPI/Vehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:29:15 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:29:44 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:30:47 +0530] "GET /WarehouseStocksManagementAPI/Warehouse HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:30:47 +0530] "GET /WarehouseStocksManagementAPI/Vehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:30:47 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:30:49 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:30:49 +0530] "GET /WarehouseStocksManagementAPI/Vehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:30:49 +0530] "GET /WarehouseStocksManagementAPI/Warehouse HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:21 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:21 +0530] "GET /WarehouseStocksManagementAPI/Vehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:21 +0530] "GET /WarehouseStocksManagementAPI/Warehouse HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:29 +0530] "OPTIONS /WarehouseStocksManagementAPI/UpdateData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:29 +0530] "POST /WarehouseStocksManagementAPI/UpdateData HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:30 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:30 +0530] "GET /WarehouseStocksManagementAPI/Vehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:30 +0530] "GET /WarehouseStocksManagementAPI/Warehouse HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:41 +0530] "GET /WarehouseStocksManagementAPI/Employee HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:41 +0530] "GET /WarehouseStocksManagementAPI/Vehicle HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Dec/2020:14:31:41 +0530] "GET /WarehouseStocksManagementAPI/Warehouse HTTP/1.1" 200 129
